"kommune","parti","stemmer"
"0213 Ski","Det nye Folkepartiet (1973-1977)",534
"0213 Ski","Anders Langes parti (1973)",605
"0213 Ski","Ensliges parti",16
"0213 Ski","Kvinnenes frie folkevalgte",6
"0213 Ski","Norges demokratiske parti",1
"0213 Ski","Sosialistisk Valgforbund (1973)",1177
"0214 Ås","Arbeiderpartiet",1426
"0214 Ås","Høyre",821
"0214 Ås","Kristelig Folkeparti",390
"0214 Ås","Senterpartiet",1222
"0214 Ås","Venstre",198
"0214 Ås","Rød valgallianse",28
"0214 Ås","Det nye Folkepartiet (1973-1977)",292
"0214 Ås","Anders Langes parti (1973)",271
"0214 Ås","Ensliges parti",7
"0214 Ås","Kvinnenes frie folkevalgte",9
"0214 Ås","Norges demokratiske parti",5
"0214 Ås","Sosialistisk Valgforbund (1973)",601
"0215 Frogn","Arbeiderpartiet",1288
"0215 Frogn","Høyre",1270
"0215 Frogn","Kristelig Folkeparti",270
"0215 Frogn","Senterpartiet",488
"0215 Frogn","Venstre",52
"0215 Frogn","Rød valgallianse",12
"0215 Frogn","Det nye Folkepartiet (1973-1977)",236
"0215 Frogn","Anders Langes parti (1973)",405
"0215 Frogn","Ensliges parti",10
"0215 Frogn","Kvinnenes frie folkevalgte",9
"0215 Frogn","Norges demokratiske parti",7
"0215 Frogn","Sosialistisk Valgforbund (1973)",433
"0216 Nesodden","Arbeiderpartiet",1351
"0216 Nesodden","Høyre",1208
"0216 Nesodden","Kristelig Folkeparti",416
"0216 Nesodden","Senterpartiet",223
"0216 Nesodden","Venstre",125
"0216 Nesodden","Rød valgallianse",48
"0216 Nesodden","Det nye Folkepartiet (1973-1977)",272
"0216 Nesodden","Anders Langes parti (1973)",354
"0216 Nesodden","Ensliges parti",9
"0216 Nesodden","Kvinnenes frie folkevalgte",5
"0216 Nesodden","Norges demokratiske parti",3
"0216 Nesodden","Sosialistisk Valgforbund (1973)",730
"0217 Oppegård","Arbeiderpartiet",2172
"0217 Oppegård","Høyre",2537
"0217 Oppegård","Kristelig Folkeparti",550
"0217 Oppegård","Senterpartiet",226
"0217 Oppegård","Venstre",216
"0217 Oppegård","Rød valgallianse",55
"0217 Oppegård","Det nye Folkepartiet (1973-1977)",576
"0217 Oppegård","Anders Langes parti (1973)",507
"0217 Oppegård","Ensliges parti",23
"0217 Oppegård","Kvinnenes frie folkevalgte",4
"0217 Oppegård","Norges demokratiske parti",1
"0217 Oppegård","Sosialistisk Valgforbund (1973)",975
"0219 Bærum","Arbeiderpartiet",9659
"0219 Bærum","Høyre",18918
"0219 Bærum","Kristelig Folkeparti",2567
"0219 Bærum","Senterpartiet",1448
"0219 Bærum","Venstre",1416
"0219 Bærum","Rød valgallianse",302
"0219 Bærum","Det nye Folkepartiet (1973-1977)",3106
"0219 Bærum","Anders Langes parti (1973)",3887
"0219 Bærum","Ensliges parti",152
"0219 Bærum","Kvinnenes frie folkevalgte",51
"0219 Bærum","Norges demokratiske parti",16
"0219 Bærum","Sosialistisk Valgforbund (1973)",4562
"0220 Asker","Arbeiderpartiet",3805
"0220 Asker","Høyre",6122
"0220 Asker","Kristelig Folkeparti",1220
"0220 Asker","Senterpartiet",951
"0220 Asker","Venstre",559
"0220 Asker","Rød valgallianse",132
"0220 Asker","Det nye Folkepartiet (1973-1977)",1088
"0220 Asker","Anders Langes parti (1973)",1870
"0220 Asker","Ensliges parti",54
"0220 Asker","Kvinnenes frie folkevalgte",17
"0220 Asker","Norges demokratiske parti",7
"0220 Asker","Sosialistisk Valgforbund (1973)",2073
"0221 Aurskog-Høland","Arbeiderpartiet",3166
"0221 Aurskog-Høland","Høyre",495
"0221 Aurskog-Høland","Kristelig Folkeparti",853
"0221 Aurskog-Høland","Senterpartiet",1147
"0221 Aurskog-Høland","Venstre",128
"0221 Aurskog-Høland","Rød valgallianse",10
"0221 Aurskog-Høland","Det nye Folkepartiet (1973-1977)",162
"0221 Aurskog-Høland","Anders Langes parti (1973)",243
"0221 Aurskog-Høland","Ensliges parti",4
"0221 Aurskog-Høland","Kvinnenes frie folkevalgte",7
"0221 Aurskog-Høland","Norges demokratiske parti",3
"0221 Aurskog-Høland","Sosialistisk Valgforbund (1973)",471
"0226 Sørum","Arbeiderpartiet",1954
"0226 Sørum","Høyre",473
"0226 Sørum","Kristelig Folkeparti",419
"0226 Sørum","Senterpartiet",976
"0226 Sørum","Venstre",81
"0226 Sørum","Rød valgallianse",8
"0226 Sørum","Det nye Folkepartiet (1973-1977)",162
"0226 Sørum","Anders Langes parti (1973)",188
"0226 Sørum","Ensliges parti",8
"0226 Sørum","Kvinnenes frie folkevalgte",1
"0226 Sørum","Norges demokratiske parti",5
"0226 Sørum","Sosialistisk Valgforbund (1973)",574
"0227 Fet","Arbeiderpartiet",1782
"0227 Fet","Høyre",450
"0227 Fet","Kristelig Folkeparti",321
"0227 Fet","Senterpartiet",428
"0227 Fet","Venstre",101
"0227 Fet","Rød valgallianse",11
"0227 Fet","Det nye Folkepartiet (1973-1977)",128
"0227 Fet","Anders Langes parti (1973)",191
"0227 Fet","Ensliges parti",5
"0227 Fet","Kvinnenes frie folkevalgte",2
"0227 Fet","Norges demokratiske parti",2
"0227 Fet","Sosialistisk Valgforbund (1973)",439
"0228 Rælingen","Arbeiderpartiet",2219
"0228 Rælingen","Høyre",978
"0228 Rælingen","Kristelig Folkeparti",362
"0228 Rælingen","Senterpartiet",265
"0228 Rælingen","Venstre",141
"0228 Rælingen","Rød valgallianse",29
"0228 Rælingen","Det nye Folkepartiet (1973-1977)",283
"0228 Rælingen","Anders Langes parti (1973)",403
"0228 Rælingen","Ensliges parti",12
"0228 Rælingen","Kvinnenes frie folkevalgte",6
"0228 Rælingen","Norges demokratiske parti",1
"0228 Rælingen","Sosialistisk Valgforbund (1973)",923
"0229 Enebakk","Arbeiderpartiet",1071
"0229 Enebakk","Høyre",338
"0229 Enebakk","Kristelig Folkeparti",270
"0229 Enebakk","Senterpartiet",377
"0229 Enebakk","Venstre",65
"0229 Enebakk","Rød valgallianse",16
"0229 Enebakk","Det nye Folkepartiet (1973-1977)",107
"0229 Enebakk","Anders Langes parti (1973)",182
"0229 Enebakk","Ensliges parti",3
"0229 Enebakk","Kvinnenes frie folkevalgte",3
"0229 Enebakk","Norges demokratiske parti",1
"0229 Enebakk","Sosialistisk Valgforbund (1973)",371
"0230 Lørenskog","Arbeiderpartiet",3680
"0230 Lørenskog","Høyre",1571
"0230 Lørenskog","Kristelig Folkeparti",613
"0230 Lørenskog","Senterpartiet",412
"0230 Lørenskog","Venstre",271
"0230 Lørenskog","Rød valgallianse",45
"0230 Lørenskog","Det nye Folkepartiet (1973-1977)",425
"0230 Lørenskog","Anders Langes parti (1973)",687
"0230 Lørenskog","Ensliges parti",24
"0230 Lørenskog","Kvinnenes frie folkevalgte",9
"0230 Lørenskog","Norges demokratiske parti",1
"0230 Lørenskog","Sosialistisk Valgforbund (1973)",1690
"0231 Skedsmo","Arbeiderpartiet",8172
"0231 Skedsmo","Høyre",3189
"0231 Skedsmo","Kristelig Folkeparti",1110
"0231 Skedsmo","Senterpartiet",762
"0231 Skedsmo","Venstre",368
"0231 Skedsmo","Rød valgallianse",79
"0231 Skedsmo","Det nye Folkepartiet (1973-1977)",1082
"0231 Skedsmo","Anders Langes parti (1973)",1110
"0231 Skedsmo","Ensliges parti",26
"0231 Skedsmo","Kvinnenes frie folkevalgte",6
"0231 Skedsmo","Norges demokratiske parti",8
"0231 Skedsmo","Sosialistisk Valgforbund (1973)",2929
"0233 Nittedal","Arbeiderpartiet",2579
"0233 Nittedal","Høyre",1086
"0233 Nittedal","Kristelig Folkeparti",340
"0233 Nittedal","Senterpartiet",451
"0233 Nittedal","Venstre",408
"0233 Nittedal","Rød valgallianse",37
"0233 Nittedal","Det nye Folkepartiet (1973-1977)",418
"0233 Nittedal","Anders Langes parti (1973)",455
"0233 Nittedal","Ensliges parti",14
"0233 Nittedal","Kvinnenes frie folkevalgte",2
"0233 Nittedal","Norges demokratiske parti",6
"0233 Nittedal","Sosialistisk Valgforbund (1973)",1012
"0234 Gjerdrum","Arbeiderpartiet",542
"0234 Gjerdrum","Høyre",180
"0234 Gjerdrum","Kristelig Folkeparti",150
"0234 Gjerdrum","Senterpartiet",375
"0234 Gjerdrum","Venstre",11
"0234 Gjerdrum","Rød valgallianse",2
"0234 Gjerdrum","Det nye Folkepartiet (1973-1977)",12
"0234 Gjerdrum","Anders Langes parti (1973)",81
"0234 Gjerdrum","Ensliges parti",4
"0234 Gjerdrum","Kvinnenes frie folkevalgte",1
"0234 Gjerdrum","Norges demokratiske parti",1
"0234 Gjerdrum","Sosialistisk Valgforbund (1973)",114
"0235 Ullensaker","Arbeiderpartiet",3514
